"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_NEWS_RED_TITLE","The Barbarians Red Balloon","Le ballon rouge des barbares","Der Barbarenballon","El globo rojo de los bárbaros","La barbarica mongolfiera","De rode ballon van de barbaren","Barbarenes røde ballong","O Balão Vermelho do Bárbaro","Barbarların Kırmızı Balonu","バーバリアンと赤いバルーン","Clash-A-Rama！哥布林的新款野猪","바바리안의 빨간 해골 비행선","Красный шар варваров","بالون البرابرة الأحمر","野蠻人的紅氣球","بالن قرمز بربر‌ها","Balon Merah Orang Barbar","Belon Merah Orang Gasar"
"TID_NEWS_RED_TEXT","Two Barbarians steal a Balloon and go on a heroic journey. ","Deux barbares se lancent dans un voyage héroïque à bord d’un ballon volé. ","Zwei Barbaren klauen einen Ballon und vollbringen Heldentaten. ","Dos bárbaros roban un globo bombástico y se embarcan en un épico viaje. ","Due barbari rubano una mongolfiera e partono per un’epica avventura. ","Twee barbaren stelen een ballon en beleven het avontuur van hun leven. ","To barbarer stjeler en ballong og legger ut på en heroisk reise. ","Dois Bárbaros roubam um Balão e embarcam em uma jornada heroica.  ","İki barbar, bir Balon çalıp ve efsanevi bir yolculuğa çıkar. ","2人のバーバリアンがバルーンを盗み出し、壮大な冒険に出かけます。","哥布林一夜暴富，弄了只拉风的新款野猪，不仅亮瞎了路人的双眼，还让弓箭MM和野蛮人陷入了前所未有的危机中。他究竟做了什么？","두 명의 바바리안이 해골 비행선을 훔쳐 용감무쌍한 여행을 떠납니다. ","Два варвара украли шар и отправились в героическое путешествие. ","بربريان يسرقان بالونًا وينطلقان في رحلة بطولية. ","兩個野蠻人偷了一顆氣球，開始了他們英雄般的征途。","دو بربر بالنی را می‌دزدند و سفر قهرمانانه‌ای را آغاز می‌کنند. ","Dua Orang Barbar mencuri Balon dan melakukan perjalanan heroik. ","Dua Orang Gasar mencuri Belon untuk memulakan perjalanan kewiraan. "
"TID_DIAMOND_BUNDLE_HERO_INFO","Episode 7","Épisode 7","Episode 7","Episodio 7","Episodio 7","Aflevering 7","Episode 7","Episódio 7 ","Episode 7","エピソード7","点击观看","에피소드 7","Эпизод 7","الحلقة 7","第7集","قسمت 7","Episode 7","Episod 7"
"TID_NEWS_XMAS_2016_UPDATE_TEXT","It's a snowy season stocked with special events!\n\nCheck out the new <c76589b>Events</c> tab and keep up with all the fun to come!","Cette saison est propice à la neige et aux événements spéciaux !\n\nRendez-vous dans le nouvel onglet <c76589b>Événements</c> pour n'en rater aucun !","Ein Winter voller Sonderereignisse!\n\nSchau im neuen <c76589b>Ereignismenü</c> vorbei, damit du auf dem Laufenden bleibst!","¡El invierno ha llegado cargadito de eventos exclusivos!\n\nEcha un vistazo a la nueva pestaña <c76589b>Eventos</c> y disfruta de todo lo que queda por venir.","Arriva la neve, e con lei gli eventi speciali!\n\nControlla la nuova scheda degli <c76589b>eventi</c> e non perderti il divertimento in arrivo!","Het sneeuwt speciale evenementen!\n\nBekijk het nieuwe <c76589b>Evenementen</c>-tabblad en ontdek wat je te wachten staat.","På denne tiden av året finnes det snø og spesialhendelser i massevis!\n\nSjekk den nye delen <c76589b>Hendelser</c> for å få med deg all den kommende moroa!","É uma época cheia de neve e com eventos especiais!\n\nConfira a nova <c76589b>aba de eventos</c> e prepare-se para a diversão que está por vir!","Özel etkinliklerle dolu bir kar sezonu!\n\nYeni<c76589b>Etkinlikler</c> sekmesini takip et, yaklaşan eğlenceli etkinlikleri kaçırma!","スペシャルイベント満載の雪の季節がやってきました！\n\n新しい<c76589b>イベント</c>タブを確認して、思いっきり楽しみましょう！","在这个飘雪的季节里，我们推出了各种特别活动！\n\n查看新的<c76589b>活动</c>选项卡，关注这些有趣的活动吧 ！","특별 이벤트로 가득한 겨울입니다!\n\n신규 <c76589b>이벤트</c> 탭에서 재미있는 이벤트들을 확인해 보세요!","Наступила зима, и она запомнится нам массой особых мероприятий!\n\nОзнакомьтесь с ними на новой вкладке <c76589b>событий</c> и продолжайте играть!","إنه موسم مثلج تملؤه الأحداث المميزة!\n\nتفقَّدوا علامة تبويب<c76589b>الأحداث</c> الجديدة وتابعوا كل المرح القادم!","在這個飄雪的季節裡，我們推出了各種特別活動！\n\n查看新的<c76589b>活動</c>選單，關注這些有趣的活動吧！","اکنون فصل برف با رویدادهای ویژه انباشته شده است!\n\nزبانه <c76589b>رویدادهای</c> جدید را بررسی کنید و با همه سرگرمی‌های در راه همراه شوید!","Musim bersalju penuh acara spesial!\n\nTengoklah tab baru: <c76589b>Acara</c> dan ikuti semua keseruan mendatang!","Musim bersalji ini penuh dengan acara istimewa!\n\nSemak tab <c76589b>Acara</c> baharu dan nikmati semua keseronokan yang akan datang!"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC_PLURAL","Event Challenge: Win multiplayer battles!\n<cffec78>• Must use <usecount> <unit>s</c>","Défi d'événement : remportez des combats multijoueur !\n<cffec78>• Vous devez utiliser <usecount> <unit>s</c>","Herausforderungsereignis: Gewinne Mehrspieler-Kämpfe!\n<cffec78>• <usecount> <unit> müssen benutzt werden</c>","Evento de desafío: ¡Gana batallas multijugador!\n<cffec78>• Debes usar <usecount> tropas de <unit>.</c>","Evento sfida: vinci battaglie multigiocatore!\n<cffec78>• Devi usare <usecount> unità di <unit></c>","Evenementuitdaging: win multiplayergevechten!\n<cffec78>• Gebruik: <usecount>x <unit></c>","Hendelsesutfordring: Vinn flerspillerkamper!\n<cffec78>• Du må bruke <usecount>x <unit></c>","Desafio: Vença batalhas multijogador!\n<cffec78>• É preciso usar <usecount>unidades de <unit> </c>.","Etkinlik Meydan Okuması: Çok oyunculu savaşları kazan!\n<cffec78>• <usecount> <unit> kullanılmalı</c>","イベントチャレンジ： マルチプレイ戦闘で勝利しましょう！\n<cffec78>• <usecount><unit>を使う必要があります</c>","活动挑战：在联机模式中获胜！\n<cffec78>• 必须使用<usecount>个<unit></c>","이벤트 도전: 멀티플레이 전투에서 승리하세요!\n<cffec78>• 필수 사용: <unit> x <usecount></c>","Испытание: победите в многопользовательском режиме!\n<cffec78>• Нужно использовать: 1 <usecount> <unit>с.</c>","حدث التحدي: اظفر بمعارك متعددة اللاعبين!\n<cffec78>• يجب استخدام <usecount> وحدات <unit> </c>","活動挑戰：在連線模式中獲勝！\n<cffec78>• 必須使用<usecount>個<unit></c>","چالش رویداد: نبرد چندنفره را ببرید!\n<cffec78>• باید از <usecount><unit>ها استفاده کنید</c>","Tantangan Acara: Menangi pertempuran Multipemain!\n<cffec78>• Harus memakai <usecount> <unit></c>","Cabaran Acara: Menangi pertempuran berbilang pemain!\n<cffec78>• Mesti menggunakan <usecount> <unit></c>"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC","Event Challenge: Win multiplayer battles!\n<cffec78>• Must use 1 <unit></c>","Défi d'événement : remportez des combats multijoueur !\n<cffec78>• Vous devez utiliser 1 <unit></c>","Herausforderungsereignis: Gewinne Mehrspielerkämpfe!\n<cffec78>• 1 <unit> muss benutzt werden</c>","Evento de desafío: ¡Gana batallas multijugador!\n<cffec78>• Debes usar 1 <unit>.</c>","Evento sfida: vinci battaglie multigiocatore!\n<cffec78>• Devi usare 1 <unit></c>","Evenementuitdaging: win multiplayergevechten!\n<cffec78>• Gebruik van 1 <unit> verplicht</c>","Hendelsesutfordring: Vinn flerspillerkamper!\n<cffec78>• Du må bruke 1 <unit></c>","Evento de Desafio: Vença batalhas multijogador!\n<cffec78>• É preciso usar 1 <unit></c>.","Etkinlik Meydan Okuması: Çok oyunculu savaşları kazan!\n<cffec78>• 1 <unit> kullanılmalı</c>","イベントチャレンジ： マルチプレイ戦闘で勝利しましょう！\n<cffec78>• 1<unit>を使用する必要があります</c>","活动挑战：在联机模式中获胜！\n<cffec78>• 必须使用1个<unit></c>","이벤트 도전: 멀티플레이 전투에서 승리하세요!\n<cffec78>• 필수 사용: <unit> x 1</c>","Испытание: победите в многопользовательском режиме!\n<cffec78>• Нужно использовать: 1 <unit></c>","حدث التحدي: اظفر بمعارك متعددة اللاعبين!\n<cffec78>• يجب استخدام <unit> واحدة</c>","活動挑戰：在連線模式中獲勝！\n<cffec78>• 必須使用1個<unit></c>","رویداد چالش: نبردهای چند نفره را ببرید!\n<cffec78>• باید از 1 <unit></c> استفاده کنید","Tantangan Acara: Menangi pertempuran Multipemain!\n<cffec78>• Harus memakai 1 <unit></c>","Cabaran Acara: Menangi pertempuran berbilang pemain!\n<cffec78>• Mesti menggunakan 1 <unit></c>"
"TID_WATCH","Watch Video","Regarder la vidéo","Video ansehen","Ver vídeo","Guarda video","Video bekijken","Se video","Assistir ao vídeo","Videoyu İzle","今すぐチェック","点击观看","동영상 보기","Смотреть ролик","مشاهدة الفيديو","點擊觀看","تماشای ویدیو","Tonton Video","Tonton Video"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_1","Chief, celebrate Clashmas with 1-Gem boosts and Santa's Surprise!","Chef, célébrez Clash Noël avec des accélérations à 1 gemme et la surprise du père Noël !","Häuptling, feiere die Clash-Weihnacht mit Schüben für 1 Juwel und dem Weihnachtspräsent!","¡Celebra la Clashvidad con aceleradores por 1 gema y la sorpresa de Papá Noel!","Capo, festeggia Clashtale con potenziamenti per 1 gemma e il Regalo di Natale!","Chief, vier Clashmis met boosts voor één edelsteen en de verrassing van de kerstman!","Høvding, ring clashmas inn med 1-juvelsøkninger og nissens overraskelse!","Chefe, celebre o Natal do Clash com acelerações por 1 gema e Surpresa do Papai Noel!","Şef; Clash Yeni Yılını 1 Taşlı destekler ve Noel Baba'nın Sürprizi ile kutla!","チーフ！ 1エメラルドのブーストと「サンタのとっておき」で、クラッシュマスをお祝いしましょう！","首领，为了迎接Clash圣诞节的到来，我们特别推出了1宝石加速活动和圣诞奇袭法术！","대장님, 보석 1개 가속 및 산타의 선물과 함께 즐거운 크리스마스 보내세요!","Вождь, встречайте Clash-Рождество с усилениями за 1 кристалл и Сюрпризом от Санты!","يا زعيم، احتفل بعيد Clash المجيد مع تعزيزات مقابل جوهرة واحدة ومفاجأة بابا نويل!","首領，為了迎接Clash耶誕節的到來，我們特別推出了1寶石加速活動和聖誕奇襲法術！","رئیس، کریسمس قبیله را با تسریع‌های ۱ جواهری و سوپرایز بابانوئل جشن بگیرید!","Chief, rayakan Clashmas dengan pelesat 1 Permata dan Kejutan Santa!","Ketua, raikan Clashmas dengan galakan 1 Permata dan Kejutan Santa!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_2","Chief, Clashmas continues with the Freeze Trap - check it out!","Chef, Clash Noël continue avec le piège à gel - allez l'essayer !","Häuptling, die Clash-Weihnacht geht mit der Frostfalle weiter – sieh sie dir an!","Nuevo regalo de Clashvidad: la trampa de hielo. ¡Descúbrela!","Capo, Clashtale continua con la trappola congelante: provala!","Chief, Clashmis is nog niet afgelopen. Maak kennis met de vriesval!","Høvding, vi fortsetter clashmas-feiringen med frysefeller – prøv dem!","Chefe, o Natal do Clash continua com a armadilha de gelo. Confira!","Şef; Clash Yeni Yılı, Dondurma Tuzağı ile devam ediyor - göz at!","チーフ！ クラッシュマスは、フリーズトラップが加わってまだまだ続きます。お見逃しなく！","首领，Clash圣诞节期间还有新奇的冰冻陷阱哦，赶快去看看吧！","대장님, 클래시 크리스마스는 얼음 함정과 함께 계속 됩니다! 확인해 보세요!","Вождь, Clash-Рождество продолжается, знакомьтесь: ловушка-заморозка!","يا زعيم، يستمر عيد Clash المجيد مع فخ التجمد - اطّلع عليه!","首領，Clash耶誕節期間還有新奇的冰凍陷阱喔，趕快去看看吧！","رئیس، کریسمس قبیله با تله منجمد ادامه پیدا می‌کند - اکنون آن را بررسی کنید!","Chief, Clashmas lanjut ke Jebakan Pembeku - lihatlah!","Ketua, Clashmas diteruskan dengan Perangkap Beku - lihatnya!"
