Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,RageProjectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityDamageBoostOffset,AbilityHealthIncrease,AbilityShieldProjectileSpeed,AbilityShieldProjectileDamageMod,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,AbilitySpell,AbilitySpellLevel,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps
String,String,String,String,int,int,int,String,int,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,String,String,String,String,String,boolean,boolean,boolean,boolean,int,String,String,int,int,String,int,int,String,int,String,int,int,int,String,boolean,String,int,int,boolean,int,int,int,int,String,int,boolean,int,int,int,int,String,String,String,String,int,int,int,int,int,String,int,String,String,String,String,int,String,int,int,boolean,boolean,String,String,boolean,boolean,boolean,int,int,int,boolean,int,int,int,int,String,int,boolean
Barbarian King,TID_BARBARIAN_KING,TID_HERO_INSTRUCTIONS_BARBARIAN,sc/characters.cs,200,1700,1,DarkElixir,1,7,100,1200,,120,1,,sc/ui.sc,icon_hero_barbarianKing,unit_barbarianKing_big,sc/info_barbarian.sc,unit_barbarianKing_small,sc/ui.sc,,,,Barbarian King Deploy,Barbarian King Attack,,Barbarian King Hit,false,false,true,false,,Barbarian King Die,BarbarianKing_lvl1,900,25,Building Ready,10,,Elixir,,Barbarian King Scream,70,-40,300,King Ability Effect,true,Barbarian,2500,0,true,0,0,0,0,Barbarian,0,,0,0,,,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_hero_barbarianKing_ability1,unit_barbarianKing_ability_big,0,13,10,1200,,,,,,,,,,,,,,,,,,,,,,,,,3000,2500,,-50,true
,,,,,1742,1,,1,7,,,,122,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,11,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1786,1,,1,7,,,,124,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,12,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1830,1,,1,7,,,,127,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,13,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1876,1,,1,7,,,,129,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,14,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1923,1,,1,8,,,,132,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,15,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1971,1,,1,8,,,,135,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,16,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2020,1,,1,8,,,,137,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,17,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2071,1,,1,8,,,,140,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,18,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2123,1,,1,8,,,,143,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,19,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2176,1,,1,9,,,,146,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,20,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2230,1,,1,9,,,,149,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,21,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2286,1,,1,9,,,,152,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,22,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2343,1,,1,9,,,,155,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,23,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2402,1,,1,9,,,,158,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,24,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2462,1,,1,9,,,,161,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,25,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2523,1,,1,9,,,,164,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,26,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2586,1,,1,9,,,,168,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,27,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2651,1,,1,9,,,,171,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,28,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2717,1,,1,9,,,,174,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,29,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2785,1,,1,9,,,,178,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,30,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2855,1,,1,9,,,,181,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,31,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2926,1,,1,9,,,,185,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,32,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2999,1,,1,9,,,,189,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,33,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
